"Feature combination of this file:";"Greek-c-2"
"Beginning of first training text (1John) is:";"<U+03BF>    -    <U+03B7>  -  <U+03B7> <U+03BD>  -  <U+03BD>    -    <U+03B1>  -  <U+03B1> <U+03C0>  -  <U+03C0>    -    <U+03B1>  -  <U+03B1> <U+03C1>  -  <U+03C1> <U+03C7>"
"Beginning of first test text (Ephesians) is:";"<U+03C0> <U+03B1>  -  <U+03B1> <U+03C5>  -  <U+03C5> <U+03BB>  -  <U+03BB> <U+03BF>  -  <U+03BF> <U+03C2>  -  <U+03C2>    -    <U+03B1>  -  <U+03B1> <U+03C0>  -  <U+03C0> <U+03BF>  -  <U+03BF> <U+03C3>"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.1;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"entropy";0.1;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.1;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.25;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.25;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.25;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.5;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.5;0.1;0.2;0.75;0;0;0;0;0;0;0;0;0;0;0.2;0.75
"canberra";0.5;0.1;0.3;0.65;0;0;0;0;0;0;0;0;0;0;0.3;0.65
"cosine";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.75;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.75;0.1;0.35;0.6;0.25;0.7;0;0;0;0;0;0;0;0;0.3;0.65
"cosine";0.9;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.9;0.1;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.9;0.1;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"cosine";0.1;0.25;0.15;0.7;0;0;0;0;0;0;0;0;0;0;0.15;0.7
"entropy";0.1;0.25;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"canberra";0.1;0.25;0.35;0.5;0.3;0.6;0;0;0;0;0;0;0;0;0.325;0.55
"cosine";0.25;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.25;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.25;0.25;0.45;0.5;0.4;0.55;0.3;0.65;0;0;0;0;0;0;0.383333333333333;0.566666666666667
"cosine";0.5;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.5;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.5;0.25;0.35;0.6;0.3;0.65;0;0;0;0;0;0;0;0;0.325;0.625
"cosine";0.75;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.75;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.75;0.25;0.3;0.65;0;0;0;0;0;0;0;0;0;0;0.3;0.65
"cosine";0.9;0.25;0.1;0.7;0;0;0;0;0;0;0;0;0;0;0.1;0.7
"entropy";0.9;0.25;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.9;0.25;0.3;0.7;0;0;0;0;0;0;0;0;0;0;0.3;0.7
"cosine";0.1;0.5;0.2;0.6;0;0;0;0;0;0;0;0;0;0;0.2;0.6
"entropy";0.1;0.5;0.25;0.65;0;0;0;0;0;0;0;0;0;0;0.25;0.65
"canberra";0.1;0.5;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"cosine";0.25;0.5;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"entropy";0.25;0.5;0.35;0.55;0.3;0.65;0;0;0;0;0;0;0;0;0.325;0.6
"canberra";0.25;0.5;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"cosine";0.5;0.5;0.2;0.75;0;0;0;0;0;0;0;0;0;0;0.2;0.75
"entropy";0.5;0.5;0.25;0.65;0;0;0;0;0;0;0;0;0;0;0.25;0.65
"canberra";0.5;0.5;0.25;0.75;0;0;0;0;0;0;0;0;0;0;0.25;0.75
