"Feature combination of this file:";"Greek-w-1"
"Beginning of first training text (1John) is:";"<U+03BF>  -  <U+03B7><U+03BD>  -  <U+03B1><U+03C0>  -  <U+03B1><U+03C1><U+03C7><U+03B7><U+03C2>  -  <U+03BF>  -  <U+03B1><U+03BA><U+03B7><U+03BA><U+03BF><U+03B1><U+03BC><U+03B5><U+03BD>  -  <U+03BF>  -  <U+03B5><U+03C9><U+03C1><U+03B1><U+03BA><U+03B1><U+03BC><U+03B5><U+03BD>  -  <U+03C4><U+03BF><U+03B9><U+03C2>  -  <U+03BF><U+03C6><U+03B8><U+03B1><U+03BB><U+03BC><U+03BF><U+03B9><U+03C2>"
"Beginning of first test text (1Timothy) is:";"<U+03C0><U+03B1><U+03C5><U+03BB><U+03BF><U+03C2>  -  <U+03B1><U+03C0><U+03BF><U+03C3><U+03C4><U+03BF><U+03BB><U+03BF><U+03C2>  -  <U+03C7><U+03C1><U+03B9><U+03C3><U+03C4><U+03BF><U+03C5>  -  <U+03B9><U+03B7><U+03C3><U+03BF><U+03C5>  -  <U+03B4><U+03B9><U+03B1>  -  <U+03B8><U+03B5><U+03BB><U+03B7><U+03BC><U+03B1><U+03C4><U+03BF><U+03C2>  -  <U+03B8><U+03B5><U+03BF><U+03C5>  -  <U+03C4><U+03BF><U+03B9><U+03C2>  -  <U+03B1><U+03B3><U+03B9><U+03BF><U+03B9><U+03C2>  -  <U+03C4><U+03BF><U+03B9><U+03C2>"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.1;0.1;0.2;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.233333333333333;0.7
"entropy";0.1;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"canberra";0.1;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"cosine";0.25;0.1;0.25;0.7;0.2;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.2;0.7;0.225;0.7
"entropy";0.25;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.241666666666667;0.7
"canberra";0.25;0.1;0.25;0.7;0.15;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.2;0.7;0.2;0.7
"cosine";0.5;0.1;0.2;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.225;0.7
"entropy";0.5;0.1;0.3;0.65;0.2;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.241666666666667;0.691666666666667
"canberra";0.5;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.15;0.7;0.225;0.7
"cosine";0.75;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7;0.25;0.7
"entropy";0.75;0.1;0.25;0.7;0.3;0.6;0.25;0.7;0.2;0.7;0.25;0.7;0.2;0.7;0.241666666666667;0.683333333333333
"canberra";0.75;0.1;0.25;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.15;0.7;0.25;0.7;0.225;0.7
"cosine";0.9;0.1;0.25;0.7;0.25;0.7;0.25;0.7;0.2;0.7;0.25;0.7;0.25;0.7;0.241666666666667;0.7
